decision_id,symbol,entry_price,entry_time_utc,q_state,risk_action,final_signal,risk_level,status,latest_close,latest_date,future_return,reward,updated_at_utc,q_update_summary
5d6c1d02,MSFT,408.69,2026-05-14 14:47:36,High|Low|HOLD|NEUTRAL|Low,KEEP_SIGNAL,HOLD,Medium,completed,421.05999755859375,2026-05-20,0.030267433895113,-0.0060534867790226,2026-05-21 03:29:53,"Updated Q-value for state=High|Low|HOLD|NEUTRAL|Low, action=KEEP_SIGNAL: 0.0000 → -0.0012."
c62405d4,TSLA,445.62,2026-05-14 14:51:48,High|Medium|BUY_CANDIDATE|NEUTRAL|Medium,KEEP_SIGNAL,BUY_CANDIDATE,Low,completed,417.260009765625,2026-05-20,-0.063641645874007,-0.063641645874007,2026-05-21 03:29:53,"Updated Q-value for state=High|Medium|BUY_CANDIDATE|NEUTRAL|Medium, action=KEEP_SIGNAL: 0.0000 → -0.0127."
8471bb8e,AAPL,298.6,2026-05-14 14:52:42,High|Low|SELL_RISK|NEUTRAL|Medium,KEEP_SIGNAL,SELL_RISK,High,completed,302.25,2026-05-20,0.0122237106496985,-0.0172237106496985,2026-05-21 03:29:54,"Updated Q-value for state=High|Low|SELL_RISK|NEUTRAL|Medium, action=KEEP_SIGNAL: 0.0000 → -0.0034."
f815c192,NVDA,235.71,2026-05-14 14:53:15,Medium|Medium|SELL_RISK|NEUTRAL|Low,KEEP_SIGNAL,SELL_RISK,High,completed,223.47000122070312,2026-05-20,-0.0519282116978358,0.0469282116978358,2026-05-21 03:29:54,"Updated Q-value for state=Medium|Medium|SELL_RISK|NEUTRAL|Low, action=KEEP_SIGNAL: 0.0000 → 0.0094."
38dede75,AAPL,302.25,2026-05-21 03:43:34,High|Low|SELL_RISK|NEUTRAL|Medium,DOWNGRADE_TO_HOLD,SELL_RISK,High,completed,308.82000732421875,2026-05-22,0.0217369969370347,-0.0267369969370347,2026-05-23 05:30:36,"Updated Q-value for state=High|Low|SELL_RISK|NEUTRAL|Medium, action=DOWNGRADE_TO_HOLD: 0.0000 → -0.0053."
366c8c36,AAPL,302.25,2026-05-21 04:18:39,High|Low|SELL_RISK|NEUTRAL|Medium,KEEP_SIGNAL,SELL_RISK,High,completed,308.82000732421875,2026-05-22,0.0217369969370347,-0.0267369969370347,2026-05-23 05:30:36,"Updated Q-value for state=High|Low|SELL_RISK|NEUTRAL|Medium, action=KEEP_SIGNAL: -0.0034 → -0.0081."
0d8881a9,AAPL,308.82,2026-05-23 05:38:56,High|Low|SELL_RISK|NEUTRAL|Medium,BLOCK_TRADE,BLOCKED,Critical,completed,311.2799987792969,2026-05-26,0.0079658013706912,0.0,2026-05-26 14:38:26,"Updated Q-value for state=High|Low|SELL_RISK|NEUTRAL|Medium, action=BLOCK_TRADE: 0.0000 → 0.0000."
7997ea74,AAPL,308.82,2026-05-23 05:40:13,High|Low|SELL_RISK|NEUTRAL|Medium,BLOCK_TRADE,BLOCKED,Critical,completed,311.2799987792969,2026-05-26,0.0079658013706912,0.0,2026-05-26 14:38:26,"Updated Q-value for state=High|Low|SELL_RISK|NEUTRAL|Medium, action=BLOCK_TRADE: 0.0000 → 0.0000."
3e724657,AAPL,308.82,2026-05-23 07:50:51,,KEEP_SIGNAL,SELL_RISK,High,completed,311.2799987792969,2026-05-26,0.0079658013706912,-0.0129658013706912,2026-05-26 14:38:26,"Updated Q-value for state=nan, action=KEEP_SIGNAL: 0.0000 → -0.0026."
42f79ca7,AAPL,308.82,2026-05-23 08:04:00,High|Low|SELL_RISK|NEUTRAL|Medium,BLOCK_TRADE,BLOCKED,Critical,completed,311.2799987792969,2026-05-26,0.0079658013706912,0.0,2026-05-26 14:38:27,"Updated Q-value for state=High|Low|SELL_RISK|NEUTRAL|Medium, action=BLOCK_TRADE: 0.0000 → 0.0000."
b096d0a6,AAPL,308.82,2026-05-23 10:00:52,High|Low|SELL_RISK|NEUTRAL|Medium,BLOCK_TRADE,BLOCKED,Critical,completed,311.2799987792969,2026-05-26,0.0079658013706912,0.0,2026-05-26 14:38:27,"Updated Q-value for state=High|Low|SELL_RISK|NEUTRAL|Medium, action=BLOCK_TRADE: 0.0000 → 0.0000."
3b02ab81,AAPL,308.82,2026-05-23 10:42:24,High|Low|SELL_RISK|NEUTRAL|Medium,BLOCK_TRADE,BLOCKED,Critical,completed,311.2799987792969,2026-05-26,0.0079658013706912,0.0,2026-05-26 14:38:27,"Updated Q-value for state=High|Low|SELL_RISK|NEUTRAL|Medium, action=BLOCK_TRADE: 0.0000 → 0.0000."
f76d1d17,MSFT,418.57,2026-05-23 10:52:06,High|Low|HOLD|NEUTRAL|Low,KEEP_SIGNAL,HOLD,Medium,completed,417.3800048828125,2026-05-26,-0.0028430014506235,-0.0005686002901247,2026-05-26 14:38:27,"Updated Q-value for state=High|Low|HOLD|NEUTRAL|Low, action=KEEP_SIGNAL: -0.0012 → -0.0011."
0da59ae7,AAPL,308.82,2026-05-23 11:35:03,High|Low|SELL_RISK|NEUTRAL|Medium,BLOCK_TRADE,BLOCKED,Critical,completed,311.2799987792969,2026-05-26,0.0079658013706912,0.0,2026-05-26 14:38:28,"Updated Q-value for state=High|Low|SELL_RISK|NEUTRAL|Medium, action=BLOCK_TRADE: 0.0000 → 0.0000."
f6dac0f7,MSFT,418.57,2026-05-23 11:43:06,High|Low|HOLD|NEUTRAL|Low,KEEP_SIGNAL,HOLD,Medium,completed,417.3800048828125,2026-05-26,-0.0028430014506235,-0.0005686002901247,2026-05-26 14:38:28,"Updated Q-value for state=High|Low|HOLD|NEUTRAL|Low, action=KEEP_SIGNAL: -0.0011 → -0.0010."
46f4d3c2,MSFT,418.57,2026-05-23 11:47:44,High|Low|HOLD|NEUTRAL|Low,KEEP_SIGNAL,HOLD,Medium,completed,417.3800048828125,2026-05-26,-0.0028430014506235,-0.0005686002901247,2026-05-26 14:38:28,"Updated Q-value for state=High|Low|HOLD|NEUTRAL|Low, action=KEEP_SIGNAL: -0.0010 → -0.0009."
c63f47db,MSFT,418.57,2026-05-23 12:01:14,High|Low|HOLD|NEUTRAL|Low,KEEP_SIGNAL,HOLD,Medium,completed,417.3999938964844,2026-05-26,-0.0027952459648699,-0.0005590491929739,2026-05-26 14:38:28,"Updated Q-value for state=High|Low|HOLD|NEUTRAL|Low, action=KEEP_SIGNAL: -0.0009 → -0.0008."
db2583d4,MSFT,418.57,2026-05-23 12:06:39,High|Low|HOLD|NEUTRAL|Low,KEEP_SIGNAL,HOLD,Medium,completed,417.3999938964844,2026-05-26,-0.0027952459648699,-0.0005590491929739,2026-05-26 14:38:28,"Updated Q-value for state=High|Low|HOLD|NEUTRAL|Low, action=KEEP_SIGNAL: -0.0008 → -0.0008."
f15ad2d6,MSFT,418.59,2026-05-23 15:31:27,High|Low|HOLD|NEUTRAL|Low,KEEP_SIGNAL,HOLD,Medium,completed,417.3699951171875,2026-05-26,-0.002914558118475,-0.000582911623695,2026-05-26 14:38:29,"Updated Q-value for state=High|Low|HOLD|NEUTRAL|Low, action=KEEP_SIGNAL: -0.0008 → -0.0007."
162c49cf,MSFT,418.57,2026-05-25 03:37:24,High|Low|HOLD|NEUTRAL|Low,BLOCK_TRADE,BLOCKED,Critical,completed,417.3800048828125,2026-05-26,-0.0028430014506235,0.0,2026-05-26 14:38:29,"Updated Q-value for state=High|Low|HOLD|NEUTRAL|Low, action=BLOCK_TRADE: 0.0000 → 0.0000."
5658c194,MSFT,418.57,2026-05-25 03:40:27,High|Low|HOLD|NEUTRAL|Low,BLOCK_TRADE,BLOCKED,Critical,completed,417.3699951171875,2026-05-26,-0.0028669156480696,0.0,2026-05-26 14:38:29,"Updated Q-value for state=High|Low|HOLD|NEUTRAL|Low, action=BLOCK_TRADE: 0.0000 → 0.0000."
e07cca59,AAPL,308.82,2026-05-25 04:11:15,High|Low|SELL_RISK|NEUTRAL|Medium,KEEP_SIGNAL,SELL_RISK,High,completed,311.2799987792969,2026-05-26,0.0079658013706912,-0.0129658013706912,2026-05-26 14:38:29,"Updated Q-value for state=High|Low|SELL_RISK|NEUTRAL|Medium, action=KEEP_SIGNAL: -0.0081 → -0.0091."
2efa731d,AAPL,308.82,2026-05-25 11:55:04,High|Low|SELL_RISK|NEUTRAL|Medium,KEEP_SIGNAL,SELL_RISK,High,completed,311.2799987792969,2026-05-26,0.0079658013706912,-0.0129658013706912,2026-05-26 14:38:29,"Updated Q-value for state=High|Low|SELL_RISK|NEUTRAL|Medium, action=KEEP_SIGNAL: -0.0091 → -0.0099."
4353e2db,AAPL,308.82,2026-05-25 12:10:43,High|Low|SELL_RISK|NEUTRAL|Medium,KEEP_SIGNAL,SELL_RISK,High,completed,311.2799987792969,2026-05-26,0.0079658013706912,-0.0129658013706912,2026-05-26 14:38:29,"Updated Q-value for state=High|Low|SELL_RISK|NEUTRAL|Medium, action=KEEP_SIGNAL: -0.0099 → -0.0105."
30970f23,AAPL,308.82,2026-05-25 12:26:13,High|Low|SELL_RISK|NEUTRAL|Medium,KEEP_SIGNAL,SELL_RISK,High,completed,311.2799987792969,2026-05-26,0.0079658013706912,-0.0129658013706912,2026-05-26 14:38:30,"Updated Q-value for state=High|Low|SELL_RISK|NEUTRAL|Medium, action=KEEP_SIGNAL: -0.0105 → -0.0110."
90ead5db,MSFT,418.57,2026-05-25 12:28:28,High|Low|HOLD|NEUTRAL|Low,KEEP_SIGNAL,HOLD,Medium,completed,417.3999938964844,2026-05-26,-0.0027952459648699,-0.0005590491929739,2026-05-26 14:38:30,"Updated Q-value for state=High|Low|HOLD|NEUTRAL|Low, action=KEEP_SIGNAL: -0.0007 → -0.0007."
beb3b9e4,AAPL,308.84,2026-05-25 13:51:25,High|Low|SELL_RISK|NEUTRAL|Medium,KEEP_SIGNAL,SELL_RISK,High,completed,311.2799987792969,2026-05-26,0.0079005270667559,-0.0129005270667559,2026-05-26 14:38:30,"Updated Q-value for state=High|Low|SELL_RISK|NEUTRAL|Medium, action=KEEP_SIGNAL: -0.0110 → -0.0114."
74a69024,AAPL,308.84,2026-05-25 13:55:36,High|Low|SELL_RISK|NEUTRAL|Medium,KEEP_SIGNAL,SELL_RISK,High,completed,311.2799987792969,2026-05-26,0.0079005270667559,-0.0129005270667559,2026-05-26 14:38:30,"Updated Q-value for state=High|Low|SELL_RISK|NEUTRAL|Medium, action=KEEP_SIGNAL: -0.0114 → -0.0117."
56d49807,AAPL,308.84,2026-05-25 15:05:29,High|Low|HOLD|NEUTRAL|Medium,KEEP_SIGNAL,HOLD,Low,completed,311.2799987792969,2026-05-26,0.0079005270667559,-0.0015801054133511,2026-05-26 14:38:30,"Updated Q-value for state=High|Low|HOLD|NEUTRAL|Medium, action=KEEP_SIGNAL: 0.0000 → -0.0003."
6673a951,AAPL,308.84,2026-05-25 15:12:25,High|Low|HOLD|POSITIVE_BUT_ENTRY_RISK|Medium,KEEP_SIGNAL,HOLD,Low,completed,311.2799987792969,2026-05-26,0.0079005270667559,-0.0015801054133511,2026-05-26 14:38:30,"Updated Q-value for state=High|Low|HOLD|POSITIVE_BUT_ENTRY_RISK|Medium, action=KEEP_SIGNAL: 0.0000 → -0.0003."
